species,total_length,weight
Lstp,68,1.8
Lstp,71,1.68
Lstp,61,1.21
Lstp,264,131.18
Lstp,284,152.06
Lstp,285,150.5
Lstp,260,124.09
Lstp,226,92.62
Lstp,303,166.48
Lstp,266,122.44
Lstp,260,100.7
Lstp,290,153.24
Lstp,231,82.22
Lstp,285,141.22
Lstp,229,79.6
Lstp,298,185.18
Lstp,264,127.84
Lstp,285,157.55
Lstp,141,22.38
Lstp,281,131.76
Lstp,243,92.02
Lstp,245,104.6
Lstp,300,170.77
Lstp,268,130.16
Lstp,267,107.25
Lstp,260,100.64
Lstp,304,172.25
Lstp,292,163.63
Lstp,302,162.94
Lstp,287,143.43
Lstp,194,47.46
Lstp,240,95.91
Lstp,235,75
Lstp,231,88.87
Lstp,264,120.94
Lstp,242,95.76
Lstp,256,113.63
Lstp,227,77.07
Lstp,304,169.11
Lstp,283,133.53
Lstp,324,211.34
Lstp,280,133.17
Lstp,266,110.79
Lstp,212,64
Lstp,248,106.35
Lstp,181,37.25
Lstp,265,115.75
Lstp,240,89.1
Lstp,233,78.5
Lstp,291,156.44
Lstp,278,131.75
Lstp,161,20.96
Lstp,291,162.64
Lstp,300,174.77
Lstp,267,133.53
Lstp,293,165.15
Lstp,227,90.03
Lstp,272,114.48
Lstp,246,95.7
Lstp,274,146.62
Lstp,244,104.44
Lstp,224,80.71
Lstp,297,173.21
Lstp,258,105.25
Lstp,225,68.34
Lstp,320,205.04
Lstp,261,129.61
Lstp,287,152.48
Lstp,220,79.15
Lstp,254,98.62
Lstp,268,125.27
Lstp,288,139.78
Lstp,240,92.31
Lstp,284,142.86
Lstp,298,150.7
Lstp,279,126.95
Lstp,234,76.68
Lstp,229,75.24
Lstp,324,206.53
Lstp,259,104.48
Lstp,247,90.54
Lstp,283,139.61
Lstp,226,82.29
Lstp,284,150.73
Lstp,289,152.32
Lstp,262,111.74
Lstp,274,137.15
Lstp,296,163.2
Lstp,290,147.84
Lstp,231,85.82
Lstp,248,94.26
Lstp,231,85.17
Lstp,215,65.16
Lstp,276,143.68
Lstp,278,143.29
Lstp,224,81.22
Lstp,280,128.95
Lstp,237,89.99
Lstp,265,131.51
Lstp,270,138.33
Lstp,242,90.97
Lstp,333,220.57
Lstp,236,90.92
Lstp,331,180.77
Lstp,480,707
Lstp,442,645
Lstp,415,518
Lstp,383,376
Lstp,180,43.91
Lstp,186,45.71
Lstp,236,95.83
Lstp,220,73.27
Lstp,244,103.2
Lstp,220,76.98
Lstp,215,69.95
Lstp,190,51.52
Lstp,231,98.81
Lstp,253,108.72
Lstp,187,50.07
Lstp,190,51.51
Lstp,221,83.27
Lstp,150,24.24
Lstp,145,19.8
Lstp,167,35.88
Lstp,130,15.54
Lstp,120,12.5
Lstp,178,45.55
Lstp,265,125.6
Stolo,75,2.7
Stolo,84,3.69
Stolo,82,3.67
Stolo,76,3.1
Stolo,74,2.62
Stolo,68,2.03
Stolo,81,3.69
Stolo,85,3.72
Stolo,74,2.61
Stolo,81,3.58
Stolo,80,3.07
Stolo,81,3.62
Stolo,83,4.13
Stolo,80,3.28
Stolo,80,3.46
Stolo,71,2.3
Stolo,87,4.48
Stolo,81,3.46
Stolo,79,3.03
Stolo,72,2.18
Stolo,86,3.35
Stolo,74,3.68
Stolo,75,2.56
Stolo,78,3.1
Stolo,79,3.47
Stolo,88,4.5
Stolo,79,3.3
Stolo,72,2.54
Stolo,76,3.01
Stolo,80,3.48
Stolo,62,1.77
Stolo,72,2.68
Stolo,85,3.75
Stolo,76,3.06
Stolo,54,1.2
Stolo,55,1.01
Stolo,83,3.63
Stolo,79,3.27
Stolo,60,1.34
Stolo,81,3.44
Stolo,75,2.88
Stolo,90,4.36
Stolo,82,3.66
Stolo,72,2.77
Stolo,72,2.25
Stolo,83,3.58
Stolo,82,3.67
Stolo,74,2.61
Stolo,78,3.31
Stolo,76,2.96
Stolo,91,5.39
Stolo,80,3.5
Stolo,72,2.32
Stolo,84,3.88
Stolo,83,4.1
Stolo,85,4.28
Stolo,78,3.5
Stolo,75,2.79
Stolo,73,2.7
Stolo,64,1.8
Stolo,70,2.16
Stolo,80,3.14
Stolo,85,3.8
Stolo,83,3.31
Stolo,55,1.1
Stolo,59,1.01
Stolo,60,1.09
Stolo,60,1.3
Stolo,83,3.48
Stolo,86,3.3
Stolo,78,2.72
Stolo,80,3.66
Stolo,69,1.89
Stolo,86,4.27
Stolo,80,3.24
Stolo,86,4.23
Stolo,90,4.91
Stolo,84,3.62
Stolo,86,3.72
Stolo,83,3.61
Stolo,72,2.52
Stolo,82,3.67
Stolo,69,2.17
Stolo,75,2.68
Stolo,86,4.46
Stolo,90,4.67
Stolo,87,4.65
Stolo,83,3.7
Stolo,75,3.11
Stolo,83,4.84
Stolo,82,3.65
Stolo,90,5.37
Stolo,88,4.14
Stolo,83,4.7
Stolo,88,4.58
Stolo,83,3.73
Stolo,93,5.14
Stolo,83,3.77
Stolo,83,3.67
Stolo,75,2.65
Stolo,95,5.74
Stolo,85,4.25
Stolo,85,4.08
Stolo,82,3.64
Stolo,82,3.48
Stolo,76,2.96
Stolo,77,2.64
Stolo,77,3.32
Stolo,85,4.08
Stolo,81,3.15
Stolo,81,3.24
Stolo,88,4.45
Stolo,85,3.6
Stolo,83,3.81
Stolo,81,2.64
Stolo,84,3.08
Stolo,83,3.41
Stolo,85,4.08
Stolo,80,3.29
Stolo,81,3.44
Stolo,82,3.6
Stolo,84,4.06
Stolo,85,4.01
Stolo,85,4.07
Stolo,90,4.49
Stolo,85,3.49
Stolo,74,2.47
Stolo,83,3.8
Stolo,92,5.82
Stolo,75,2.87
Stolo,83,3.3
Stolo,83,3.49
Stolo,85,3.74
Stolo,82,3.66
Stolo,80,3.5
Stolo,80,3.7
Stolo,85,4.46
Stolo,82,3.7
Stolo,58,3.18
Stolo,79,3.25
Stolo,82,3.43
Stolo,82,3.75
Stolo,93,5.1
Stolo,82,3.47
Stolo,84,3.06
Stolo,80,2.82
Stolo,76,2.74
Stolo,83,3.6
Stolo,86,3.78
Stolo,85,3.75
Stolo,85,3.94
Stolo,87,4.1
Stolo,75,2.6
Stolo,80,3.15
Stolo,80,2.96
Stolo,85,3.75
Stolo,85,3.99
Stolo,84,3.5
Stolo,84,3.67
Stolo,83,3.58
Stolo,74,2.65
Stolo,93,5.09
Stolo,85,3.32
Stolo,84,3.9
Stolo,83,3.53
Stolo,83,2.43
Stolo,72,2.43
Stolo,80,3.4
Stolo,83,3.6
Stolo,83,3.33
Stolo,85,4.15
Stolo,78,3.9
Stolo,83,3.62
Stolo,76,2.78
Stolo,84,3.77
Stolo,80,3.09
Stolo,87,4.14
Stolo,84,3.9
Stolo,81,3.1
Stolo,79,2.87
Stolo,97,5.64
Stolo,92,4.56
Stolo,80,3.21
Stolo,70,2.1
Stolo,84,3.6
Stolo,90,4.76
Stolo,90,5.1
Stolo,92,4.78
Stolo,83,3.74
Stolo,78,2.93
Stolo,76,2.83
Stolo,91,5.03
Stolo,88,4.37
Stolo,80,3.35
Stolo,78,2.88
Stolo,71,2.14
Stolo,85,3.75
Stolo,85,3.95
Stolo,85,3.97
Stolo,80,3.17
Stolo,83,3.6
Stolo,79,3.02
Stolo,83,3.28
Stolo,85,3.51
Stolo,84,3.81
Stolo,87,4.28
Stolo,75,2.68
Stolo,80,3.24
Stolo,82,3.84
Stolo,82,3.53
Stolo,78,2.95
Stolo,77,2.84
Stolo,86,3.9
Stolo,86,4.21
Stolo,95,5.35
Stolo,83,3.56
Stolo,90,4.23
Stolo,75,2.81
Stolo,77,2.78
Stolo,80,3.19
Stolo,78,2.98
Stolo,80,3.15
Stolo,90,4.37
Stolo,80,3.13
Stolo,85,3.7
Stolo,87,4.25
Stolo,75,2.65
Stolo,85,3.45
Stolo,80,3.08
Stolo,75,2.64
Stolo,83,3.06
Stolo,81,3.49
Stolo,83,3.36
Stolo,82,3.51
Stolo,91,4.74
Stolo,73,2.18
Stolo,84,3.55
Stolo,72,2.09
Stolo,83,3.67
Stolo,82,3.57
Stolo,88,4.67
Stolo,86,3.75
Stolo,93,4
Stolo,75,2
Stolo,82,3.14
Stolo,79,3.26
Stolo,86,4.18
Stolo,83,3.61
Stolo,71,2.23
Stolo,80,3.41
Stolo,75,2.71
Stolo,78,2.83
Stolo,77,2.82
Stolo,84,3.74
Stolo,67,1.86
Stolo,70,2.2
Stolo,70,2.28
Stolo,85,3.72
Stolo,85,3.81
Stolo,78,2.78
Stolo,81,3.31
Stolo,81,3.46
Stolo,75,2.55
Stolo,80,3.05
Stolo,80,3.05
Stolo,85,3.98
Stolo,60,1.32
Stolo,64,1.61
Stolo,86,4.28
Stolo,95,5.14
Stolo,71,2.16
Stolo,74,2.62
Stolo,65,1.85
Stolo,75,2.48
Stolo,76,2.68
Stolo,78,2.07
Stolo,70,2.08
Stolo,70,2.1
Stolo,60,1.53
Stolo,78,3.09
Stolo,75,2.68
Stolo,85,3.78
Stolo,80,3.19
Stolo,70,2.18
Stolo,70,2.17
Stolo,70,2.25
Stolo,73,2.49
Stolo,72,2.4
Stolo,75,2.2
Stolo,76,2.56
Stolo,80,3.51
Stolo,87,3.25
Stolo,84,4.11
Stolo,81,3.68
Stolo,68,1.75
Stolo,80,3.36
Stolo,85,3.65
Stolo,87,4.29
Stolo,88,4.68
Stolo,71,2.33
Stolo,82,3.81
Stolo,89,4.8
Stolo,95,5.9
Stolo,85,4.7
Stolo,85,4.24
Stolo,85,4.28
Stolo,85,4.21
Stolo,83,3.68
Stolo,77,3.11
Stolo,75,2.49
Stolo,81,3.55
Stolo,79,3.26
Stolo,90,5.1
Stolo,79,3.24
Stolo,86,4.05
Stolo,84,3.65
Stolo,75,2.67
Stolo,87,4.6
Stolo,88,4.85
Stolo,84,3.21
Stolo,87,4.11
Stolo,83,3.69
Stolo,80,3.52
Stolo,88,4.59
Stolo,83,3.65
Stolo,76,2.79
Stolo,89,4.86
Stolo,75,3.05
Stolo,83,5.46
Stolo,88,4.73
Stolo,80,3.65
Stolo,84,3.72
Stolo,81,3.6
Stolo,79,3.18
Stolo,77,2.9
Stolo,80,3.43
Stolo,85,4.15
Stolo,70,2.32
Stolo,84,3.7
Stolo,72,2.2
Stolo,86,4.58
Stolo,76,3.17
Stolo,84,3.79
Stolo,84,3.81
Stolo,81,3.65
Stolo,91,4.85
Stolo,87,3.08
Stolo,82,3.7
Stolo,74,2.43
Stolo,76,2.85
Stolo,80,3.44
Stolo,82,3.98
Stolo,83,3.05
Stolo,90,4.77
Stolo,80,3.13
Stolo,75,3.89
Stolo,84,4.4
Stolo,82,3.34
Stolo,88,3.65
Stolo,84,4.3
Stolo,87,4.18
Stolo,82,3.78
Stolo,83,3.91
Stolo,82,3.72
Stolo,94,5.98
Stolo,82,3.81
Stolo,88,3.96
Stolo,89,4.59
Stolo,77,2.89
Stolo,81,3.46
Stolo,88,4.98
Stolo,90,5.4
Stolo,85,4.03
Stolo,82,3.46
Stolo,77,3.06
Stolo,81,3.48
Stolo,90,4.92
Stolo,81,2.29
Stolo,85,3.9
Stolo,85,3.95
Stolo,84,3.97
Stolo,91,5.2
Stolo,80,3.12
Stolo,90,5.06
Stolo,90,4.73
Stolo,85,4.08
Stolo,85,4.29
Stolo,78,3.06
Stolo,86,3.9
Stolo,86,3.96
Stolo,76,2
Stolo,83,3.05
Stolo,92,5.16
Stolo,85,4.12
Stolo,81,3.46
Stolo,85,3.85
Stolo,88,4.18
Stolo,90,4.76
Stolo,85,4.08
Stolo,90,5.1
Stolo,93,5.17
Stolo,88,4.61
Stolo,85,3.9
Stolo,90,4.49
Stolo,85,4.36
Stolo,82,3.52
Stolo,85,4.16
Stolo,82,3.65
Stolo,83,3.73
Stolo,86,4.16
Stolo,82,3.75
Stolo,83,3.8
Stolo,72,2.39
Stolo,83,3.87
Stolo,82,3.94
Stolo,85,3.88
Stolo,85,4.5
Stolo,87,4.25
Stolo,81,3.42
Stolo,87,4.4
Stolo,81,3.38
Stolo,86,4.13
Stolo,87,4.01
Stolo,95,5.29
Stolo,88,4.58
Stolo,84,3.94
Stolo,85,3.96
Stolo,78,3.24
Stolo,83,4.26
Stolo,86,4.16
Stolo,83,3.3
Stolo,90,4.6
Stolo,83,3.6
Stolo,86,4.04
Stolo,87,4.72
Stolo,83,3.56
Stolo,87,4.17
Stolo,84,3.77
Stolo,93,5.17
Stolo,92,5.14
Stolo,85,3.89
Stolo,90,4.62
Stolo,90,4.89
Stolo,91,5.15
Stolo,86,4.16
Stolo,83,3.28
Stolo,85,3.72
Stolo,93,5.13
Stolo,90,4.71
Stolo,82,3.49
Stolo,91,4.73
Stolo,85,3.65
Stolo,85,3.8
Stolo,83,3.5
Stolo,84,3.64
Stolo,90,4.38
Stolo,85,3.97
Stolo,85,4.03
Stolo,87,4.46
Stolo,84,3.55
Stolo,88,4.31
Stolo,85,3.92
Stolo,84,3.67
Stolo,74,2.89
Stolo,86,3.95
Stolo,86,4.41
Stolo,86,3.86
Stolo,85,3.64
Stolo,85,3.68
Stolo,77,2.78
Stolo,90,4.94
Stolo,86,3.88
Stolo,80,3.2
Stolo,85,3.89
Stolo,88,4.35
Stolo,81,3.1
Stolo,80,3.88
Stolo,95,3.16
Stolo,85,3.99
Stolo,84,3.84
Stolo,85,3.85
Stolo,80,3.16
Stolo,80,3.15
Stolo,85,3.84
Stolo,83,3.62
Stolo,87,4.41
Stolo,91,4.49
Stolo,90,4.61
Stolo,72,2.81
Stolo,82,3.5
Stolo,91,5.06
Stolo,82,3.56
Stolo,83,3.65
Stolo,88,4.46
Stolo,86,4.12
Stolo,87,4.26
Stolo,81,3.29
Stolo,88,4.17
Stolo,88,4.19
Stolo,90,4.96
Stolo,81,3.19
Stolo,90,4.42
Stolo,89,4.34
Stolo,83,3.69
Stolo,84,3.55
Stolo,85,3.95
Stolo,85,3.96
Stolo,85,4.28
Stolo,85,3.9
Stolo,83,3.42
Stolo,80,3.51
Stolo,81,3.48
Stolo,81,3.28
Stolo,88,4.85
Stolo,87,4.75
Stolo,93,4.85
Stolo,85,3.7
Stolo,81,3.29
Stolo,83,3.8
Stolo,86,4.15
Stolo,77,3.08
Stolo,96,5.16
Stolo,90,5.18
Stolo,83,3.5
Stolo,80,3.33
Stolo,80,3.05
Stolo,90,4.52
Stolo,85,3.82
Stolo,91,4.41
Stolo,81,3.33
Stolo,84,3.93
Stolo,78,3.02
Stolo,80,3.07
Stolo,77,2.63
Stolo,80,3.03
Stolo,80,3.38
Stolo,82,3.47
Stolo,80,3.05
Stolo,84,3.62
Stolo,89,4.21
Stolo,75,2.82
Stolo,75,2.43
Stolo,75,2.65
Stolo,83,3.36
Stolo,85,3.89
Stolo,80,3.05
Stolo,74,2.42
Stolo,77,2.84
Stolo,85,4.23
Stolo,89,4.74
Stolo,83,3.6
Stolo,90,4.93
Stolo,85,4
Stolo,80,4.06
Stolo,80,4.07
Stolo,82,3.58
Stolo,88,4.39
Stolo,90,4.47
Stolo,85,3.95
Stolo,83,3.78
Stolo,85,4.08
Stolo,76,2.88
Stolo,82,3.55
Stolo,85,3.91
Stolo,82,3.6
Stolo,82,3.58
Stolo,82,3.53
Stolo,72,2.57
Stolo,79,3.12
Stolo,77,2.79
Stolo,87,4.01
Stolo,71,2.18
Stolo,78,2.97
Stolo,82,3.41
Stolo,81,3.28
Stolo,86,4.17
Stolo,81,3.42
Stolo,80,3.29
Stolo,87,4.14
Stolo,81,3.11
Stolo,87,4.13
Stolo,81,3.31
Stolo,73,2.39
Stolo,85,3.89
Stolo,80,3.35
Stolo,79,3.02
Stolo,82,3.44
Stolo,84,3.61
Stolo,80,3.24
Stolo,79,3.12
Stolo,80,3.21
Stolo,75,2.79
Stolo,62,1.61
Stolo,88,4.1
Stolo,90,4.59
Stolo,88,4.82
Stolo,87,3.85
Stolo,88,4.05
Stolo,89,4.41
Stolo,83,3.67
Stolo,90,4.91
Stolo,82,3.37
Stolo,72,2.32
Stolo,83,3.67
Stolo,86,3.86
Stolo,87,4.6
Stolo,84,3.72
Stolo,85,3.85
Stolo,90,4.98
Stolo,85,2.78
Stolo,77,2.71
Stolo,85,3.78
Stolo,87,3.9
Stolo,82,3.41
Stolo,95,5.51
Stolo,75,2.52
Stolo,80,3.23
Stolo,80,3.5
Stolo,78,3.15
Stolo,78,2.5
Stolo,79,2.88
Stolo,80,2.25
Stolo,81,3.18
Stolo,80,3.18
Stolo,80,3.31
Stolo,90,5.01
Stolo,85,3.9
Stolo,83,3.62
Stolo,80,3.28
Stolo,82,4.31
Stolo,83,3.5
Stolo,90,4.75
Stolo,90,4.61
Stolo,91,5.1
Stolo,82,3.41
Stolo,82,3.39
Stolo,88,4.27
Stolo,85,3.77
Stolo,79,2.88
Stolo,79,3.25
Stolo,87,4.05
Stolo,88,4.36
Stolo,89,4.47
Stolo,83,3.78
Stolo,88,4.27
Stolo,82,3.66
Stolo,92,4.98
Stolo,90,4.84
Stolo,84,3.9
Stolo,82,3.57
Stolo,85,3.65
Stolo,86,3.92
Stolo,80,3.23
Stolo,80,2.94
Stolo,83,3.63
Stolo,80,3.44
Stolo,87,4.43
Stolo,88,2.87
Stolo,88,3
Stolo,91,5.08
Stolo,84,3.78
Stolo,76,2.75
Stolo,86,4.13
Stolo,80,3.43
Stolo,79,3.1
Stolo,81,3.54
Stolo,81,3.68
Stolo,85,4.04
Stolo,87,4.24
Stolo,83,3.34
Stolo,70,2.11
Stolo,75,2.62
Stolo,77,2.74
Stolo,74,2.57
Stolo,84,3.66
Stolo,89,3.11
Stolo,76,2.92
Stolo,84,3.53
Stolo,80,3.37
Stolo,77,3.03
Stolo,72,3.31
Stolo,81,3.34
Stolo,79,2.78
Stolo,84,3.68
Stolo,85,3.8
Stolo,88,4.18
Stolo,80,3.22
Stolo,82,3.41
Stolo,81,3.16
Stolo,80,3.04
Stolo,84,3.41
Stolo,81,3.51
Stolo,77,2.7
Stolo,81,3.26
Stolo,93,5.47
Stolo,81,3.39
Stolo,82,3.78
Stolo,77,3.09
Stolo,78,3.44
Stolo,80,3.32
Stolo,80,3.3
Stolo,79,2.85
Stolo,80,3.03
Stolo,81,3.38
Stolo,82,3.47
Stolo,84,3.94
Stolo,86,4.03
Stolo,78,2.96
Stolo,78,3.07
Stolo,85,3.81
Stolo,68,1.74
Stolo,78,2.91
Stolo,78,2.96
Stolo,81,3.33
Stolo,79,3.08
Stolo,75,2.52
Stolo,76,2.71
Stolo,82,3.65
Stolo,77,3.01
Stolo,80,3.69
Stolo,79,3.36
Stolo,79,3.69
Stolo,82,3.81
Stolo,80,3.62
Stolo,76,2.91
Stolo,83,3.71
Stolo,78,3.22
Stolo,80,3.41
Stolo,79,3.37
Stolo,74,2.67
Stolo,70,2.76
Stolo,75,2.91
Stolo,80,3.41
Stolo,82,3.95
Stolo,75,3.03
Stolo,73,2.73
Stolo,79,3.36
Stolo,86,4.2
Stolo,85,4.06
Stolo,78,2.7
Stolo,71,2.43
Stolo,79,3.36
Stolo,74,2.89
Stolo,79,3.23
Stolo,71,2.43
Stolo,68,2.12
Stolo,71,2.41
Stolo,74,2.76
Stolo,67,1.94
Stolo,73,2.59
Stolo,72,2.48
Stolo,72,2.3
Stolo,75,2.75
Stolo,71,2.09
Stolo,85,4.36
Stolo,83,3.87
Stolo,76,2.87
Stolo,81,3.58
Stolo,82,3.79
Stolo,75,2.76
Stolo,76,2.76
Stolo,76,2.61
Stolo,73,2.34
Stolo,70,2.03
Stolo,71,2.21
Stolo,80,3.21
Stolo,80,3.5
Stolo,75,2.66
Stolo,73,2.66
Stolo,84,3.93
Stolo,80,3.21
Stolo,88,4.48
Stolo,76,2.85
Stolo,86,3.32
Stolo,78,3.06
Stolo,77,3.06
Stolo,74,2.46
Stolo,80,3.48
Stolo,80,3.27
Stolo,87,4.41
Stolo,74,2.59
Stolo,82,3.91
Stolo,62,1.47
Stolo,74,2.48
Stolo,62,1.78
Stolo,70,2.04
Stolo,70,2.12
Stolo,71,2.35
Stolo,73,3.35
Stolo,80,3.57
Stolo,82,3.61
Stolo,88,4.22
Stolo,75,2.67
Stolo,85,4.03
Stolo,80,3.2
Stolo,82,3.76
Stolo,82,3.3
Stolo,75,2.37
Stolo,87,4.23
Stolo,85,4.03
Stolo,80,3.33
Stolo,76,2.63
Stolo,77,2.73
Stolo,80,3.09
Stolo,75,2.51
Stolo,85,3.52
Stolo,82,3.41
Stolo,80,3.41
Stolo,79,3.27
Stolo,72,2.19
Stolo,84,4.01
Stolo,70,2.18
Stolo,80,3.12
Stolo,81,3.38
Stolo,78,2.82
Stolo,75,2.82
Stolo,68,1.98
Stolo,75,2.8
Stolo,76,2.72
Stolo,80,3.07
Stolo,72,2.15
Stolo,73,2.83
Stolo,75,2.66
Stolo,77,2.56
Stolo,77,2.35
Stolo,72,2.32
Stolo,72,2.32
Stolo,70,2.13
Stolo,68,1.93
Stolo,75,2.64
Stolo,71,2.29
Stolo,75,2.82
Stolo,75,2.76
